,ttext,date,isretweet,retweetcount,favoritecount,score,product,city,country,duplicate
47,"RT @StarkTailer: Money Time, Out Now!  applemusic  spotify  music  itunes  youtube  tidal  hiphop  newmusic  soundcloud  rap  deezer  googl",6/25/2020 9:47,TRUE,1,0,0,Apple Iphone,Los Angeles,USA,FALSE
48,DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  ,6/25/2020 9:29,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,TRUE
49,Purchased @adobe @Photoshop desktop &amp; app versions in full a few yrs back. When working on my new  Mac &amp; updated  ,6/25/2020 8:49,FALSE,0,4,0,Apple Iphone,Los Angeles,USA,FALSE
50,"""Your iPhone is not being secretly tracked by Apple's COVID-19 contact monitoring""  ",6/25/2020 7:17,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
51,Apple Is Giving iPhone Users More Control Over Their Location Data  ,6/25/2020 6:37,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,FALSE
52,"RT @iDropNews: We're giving away another FREE iPhone 11 Pro Max! Giveaway ends 10/20. ARV $1,099. Follow the link and enter to win!   ",6/25/2020 6:35,TRUE,2422,0,2,Apple Iphone,Los Angeles,USA,TRUE
53,"RT @markgurman: Apple acquired Fleetsmith, which offers popular software for companies to manage their Apple devices, in a move to bolster",6/25/2020 6:26,TRUE,12,0,2,Apple Iphone,Los Angeles,USA,FALSE
54, trendy 4-in-1 Wireless Charging Station  ,6/25/2020 6:07,FALSE,0,0,1,Apple Iphone,Los Angeles,USA,FALSE
55," - Notably missing from the iOS 14 App Library Home Screen: 

@Spotify | @pandoramusic (e.g. Apple Music)
@venmo |  ",6/25/2020 5:58,FALSE,1,3,1,Apple Iphone,Los Angeles,USA,FALSE
56,"Money Time, Out Now!  applemusic  spotify  music  itunes  youtube  tidal  hiphop  newmusic  soundcloud  rap  deezer  ",6/25/2020 5:38,FALSE,1,3,0,Apple Iphone,Los Angeles,USA,FALSE
57,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 5:13,TRUE,4,0,0,Apple Iphone,Los Angeles,USA,TRUE
58,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 3:50,TRUE,4,0,0,Apple Iphone,Los Angeles,USA,TRUE
59,RT @iDropNews: @iDropNews is giving away a brand-new 64GB iPhone SE this August! Follow the link to earn your chances to win!  ,6/25/2020 3:47,TRUE,940,0,1,Apple Iphone,Los Angeles,USA,TRUE
60,"RT @Dev2Revved: Im really pissed I bought an iPhone, I blame ALL yall for supporting gold covered trash. Apples products are shitty  Sam",6/25/2020 3:40,TRUE,1,0,0,Apple Iphone,Los Angeles,USA,FALSE
61,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 3:17,TRUE,4,0,0,Apple Iphone,Los Angeles,USA,TRUE
62,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 3:17,TRUE,4,0,0,Apple Iphone,Los Angeles,USA,TRUE
63,DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  ,6/25/2020 3:13,FALSE,4,4,0,Apple Iphone,Los Angeles,USA,TRUE
64,RT @iDropNews: We're giving away another 64GB iPhone 11 to one lucky winner absolutely FREE. Follow the link and enter to win! Contest ends,6/25/2020 2:53,TRUE,3131,0,4,Apple Iphone,Los Angeles,USA,TRUE
65,RT @iDropNews: @iDropNews is giving away a brand-new 64GB iPhone SE this August! Follow the link to earn your chances to win!  ,6/25/2020 2:50,TRUE,940,0,1,Apple Iphone,Los Angeles,USA,TRUE
66,"RT @GregglesTV: @OnePlus_USA OnePlus Nord

@Apple iPhone 12 FAST CHARGER

@SamsungMobileUS Galaxy Watch Active 2 - GOLF EDITION 

@TheNBCPe",6/25/2020 2:47,TRUE,1,0,1,Apple Iphone,Los Angeles,USA,FALSE
67,"If you cant trust your  iPhone, what can you trust ?  @Apple  Apple",6/25/2020 2:47,FALSE,0,0,2,Apple Iphone,Los Angeles,USA,FALSE
68,I've never really been bothered by iPhone users thinking they're the best phones. It only bothers me when they act  ,6/25/2020 1:49,FALSE,0,1,-1,Apple Iphone,Los Angeles,USA,FALSE
69,RT @DanielBurrus: 2020 iPhone Shock As Three All-New Apple iPhones Revealed  ,6/25/2020 1:33,TRUE,2,0,-1,Apple Iphone,Los Angeles,USA,FALSE
70,"@OnePlus_USA OnePlus Nord

@Apple iPhone 12 FAST CHARGER

@SamsungMobileUS Galaxy Watch Active 2 - GOLF EDITION  ",6/25/2020 1:30,FALSE,1,2,1,Apple Iphone,Los Angeles,USA,FALSE
71,DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  ,6/25/2020 1:28,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,TRUE
72,RT @TheOnlyDJQualls: I got a subscription to Apple TV free for a year with a recent iPhone purchase. Are there really only like 6 shows and,6/25/2020 1:25,TRUE,18,0,2,Apple Iphone,Los Angeles,USA,FALSE
73,RT @TheOnlyDJQualls: I got a subscription to Apple TV free for a year with a recent iPhone purchase. Are there really only like 6 shows and,6/25/2020 1:13,TRUE,18,0,2,Apple Iphone,Los Angeles,USA,TRUE
74,Apples Next iPhone X Release Could Be The Biggest One Ever  ,6/25/2020 1:06,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
75,RT @DanielBurrus: 2020 iPhone Shock As Three All-New Apple iPhones Revealed  ,6/25/2020 0:59,TRUE,2,0,-1,Apple Iphone,Los Angeles,USA,TRUE
76,2020 iPhone Shock As Three All-New Apple iPhones Revealed  ,6/25/2020 0:58,FALSE,2,0,-1,Apple Iphone,Los Angeles,USA,FALSE
77,@VideoGamerCom @Joshywise you can definitely use a controller for Apple Arcade. You can even link your PS4/Xbox con  ,6/25/2020 0:53,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
78,"wow, just ugly cried because @mylifeasronnie just surprised me with and ipad pro and pencil  i got my first iphone  ",6/25/2020 0:15,FALSE,0,3,0,Apple Iphone,Los Angeles,USA,FALSE
79,"Well, I hope Apples final implementation of iOS widgets and smart stacks is less confusing. Like it should work th  ",6/25/2020 0:03,FALSE,0,0,3,Apple Iphone,Los Angeles,USA,FALSE
80,Thanks to Arnold @TMobile and the whole  tmobile fam.. I must say I'm still frustrated over the situation/problems  ,6/24/2020 23:55,FALSE,0,0,-1,Apple Iphone,Los Angeles,USA,FALSE
81,"iOS 14 lets you tap the back of your iPhone &amp; 8212; yes, the back &amp; 8212; to perform commands  ",6/24/2020 23:18,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
82,"RT @NewMusicWeds: Only the Top Voted Artists will Advance to the @TrendCityRadio  Top40

App VOTES ONLY

Download our App Now &amp; Vote",6/24/2020 23:06,TRUE,6,0,1,Apple Iphone,Los Angeles,USA,TRUE
